REC_ID,DEP_NAME,COUNTRY,STATE,COMMODITY,DEP_TYPE,DETAIL,MODEL,DEP_MODEL,CITATION,CATEGORY,URL
246,Emperor,Fiji,,Gold,Hydrothermal,,,,"Kwak, 1990",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=246
394,Reefton,New Zealand,,Gold,Hydrothermal,,,,"Williams, 1974",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=394
395,Waihi,New Zealand,,Gold,Hydrothermal,,,,"Williams, 1974",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=395
35,Palmer River,Australia,,Gold,Surficial,,,,"GSA, OZMIN",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=35
148,Huanan,China,,Gold,Surficial,,,,"Ariunbileg and others, 2003",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=148
149,Huma,China,,Gold,Surficial,,,,"Ariunbileg and others, 2003",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=149
151,Jiayin,China,,Gold,Surficial,,,,"Ariunbileg and others, 2003",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=151
155,Mohe,China,,Gold,Surficial,,,,"Ariunbileg and others, 2003",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=155
527,Donlin Creek,United States,Alaska,gold,Hydrothermal,Intrusion-related gold deposit,43,Plutonic porphyry Au,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=527
528,Fort Knox,United States,Alaska,gold,Hydrothermal,Intrusion-related gold deposit,43,Plutonic porphyry Au,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=528
529,Pogo (Liese zone),United States,Alaska,gold,Hydrothermal,Intrusion-related gold deposit,43,Plutonic porphyry Au,Mutschler and others (1999),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=529
530,"Alaska - Juneau (A.J., Perseverance)",United States,Alaska,gold,Hydrothermal,Orogenic gold veins,36a,Low-sulfide Au-quartz vein,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=530
531,Empire - North Star,United States,California,gold,Hydrothermal,Orogenic gold veins,36a,Low-sulfide Au-quartz vein,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=531
532,Homestake,United States,South Dakota,gold,Hydrothermal,Orogenic gold veins,36b,Homestake Au,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=532
533,Idaho - Maryland - Eureka - Brunswick,United States,California,gold,Hydrothermal,Orogenic gold veins,36a,Low-sulfide Au-quartz vein,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=533
146,Erdaogou,China,,Gold,Hydrothermal,,,,"Ariunbileg and others, 2003",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=146
825,Pass Peak Formation,United States,Wyoming,gold,Surficial,Placer gold deposit,39a,Placer Au-PGE,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=825
534,Jamestown,United States,California,gold,Hydrothermal,Orogenic gold veins,36a,Low-sulfide Au-quartz vein,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=534
1458,Nurkazgan,Kazakhstan,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1458
821,Manhatten Alluvial Fan,United States,Nevada,gold,Surficial,Placer gold deposit,39a,Placer Au-PGE,Orris and Bliss (1985),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=821
815,Columbia,United States,California,gold,Surficial,Placer gold deposit,39a,Placer Au-PGE,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=815
816,Fairbanks,United States,Alaska,gold,Surficial,Placer gold deposit,39a,Placer Au-PGE,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=816
817,Folsom,United States,California,gold,Surficial,Placer gold deposit,39a,Placer Au-PGE,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=817
818,Greaterville,United States,Arizona,gold,Surficial,Placer gold deposit,39a,Placer Au-PGE,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=818
819,Hammonton,United States,California,gold,Surficial,Placer gold deposit,39a,Placer Au-PGE,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=819
820,Kougarok,United States,Alaska,gold,Surficial,Placer gold deposit,39a,Placer Au-PGE,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=820
822,Nome,United States,Alaska,gold,Surficial,Placer gold deposit,39a,Placer Au-PGE,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=822
823,North Bloomfield,United States,California,gold,Surficial,Placer gold deposit,39a,Placer Au-PGE,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=823
824,Oregon Gulch,United States,Wyoming,gold,Surficial,Placer gold deposit,39a,Placer Au-PGE,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=824
844,York,United States,Montana,gold,Unclassified,Unclassified,,Unclassified,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=844
858,Cerro Vanguardia,Argentina,,Gold,Hydrothermal,,,,"Schalamuk and others+G124, 1997",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=858
34,Kalgoorlie,Australia,,Gold,Hydrothermal,,,,"Hughes, 1990",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=34
926,Fazenda Brasileiro,Brazil,,Gold,Hydrothermal,,,,"Skillings, 1988",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=926
961,SÃ£o Bento,Brazil,,Gold,Hydrothermal,,,,"Gurmendi and others, 1999",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=961
974,Aunor-DelniteAnkerite,Canada,,Gold,Hydrothermal,,,,"Ontario Ministry of Northern Development and Mines, 2003b",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=974
983,Bralorne-Pioneer,Canada,,Gold,Hydrothermal,,,,"Kirkham and Rafer, 2003",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=983
986,Campbell (Red LakeDickenson),Canada,,Gold,Hydrothermal,,,,"Singer and others, 1993",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=986
999,Dome-PaymasterPreston,Canada,,Gold,Hydrothermal,,,,"Kirkham and Rafer, 2003",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=999
1002,Dublin Gulch,Canada,,Gold,Hydrothermal,,,,"Mutschler and others, 1999",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1002
1025,Hollinger-Mcintryre,Canada,,Gold,Hydrothermal,,,,"Kirkham and Rafer, 2003",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1025
1034,Kerr (Kerr-Addison),Canada,,Gold,Hydrothermal,,,,"Ontario Ministry of Northern Development and Mines, 2003a",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1034
1037,"Kirkland Lake (Macassa, Kirkland Lake, Teck Hughes, Lake Shore, Wright Hargreaves, Sylvanite, Toburn)",Canada,,Gold,Hydrothermal,,,,"Kirkham and Rafer, 2003",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1037
994,Con,Canada,,Gold,Hydrothermal,,,,"Kirkham and Rafer, 2003",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=994
1058,Musselwhite Mine,Canada,,Gold,Hydrothermal,,,,"Placer Dome, Inc., 2002",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1058
1063,Pamour-HallnorBroulan,Canada,,Gold,Hydrothermal,,,,"Ontario Ministry of Northern Development and Mines, 2003b",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1063
1074,Sigma-Lamaque,Canada,,Gold,Hydrothermal,,,,"Kirkham and Rafer, 2003",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1074
1087,Tiriruniak,Canada,,Gold,Hydrothermal,,,,"Kirkham and Rafer, 2003",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1087
1166,Omai,Guyana,,Gold,Hydrothermal,,,,"Voicu and others, 1999",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1166
2233,Kilo-Moto,Congo (Kinshasa),,Gold,Unclassified,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=2233
1280,Yanacocha,Peru,,Gold,Hydrothermal,,,,"Harris and others, 1994; Bartra, 2000",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1280
1256,Alto Chicama,Peru,,Gold,Hydrothermal,,,,"Barrick Gold, 2002",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1256
147,Hanshan,China,,Gold,Hydrothermal,,,,"Ariunbileg and others, 2003",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=147
1295,Zod,Armenia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1295
355,Tolgoit,Mongolia,,Gold,Surficial,,,,"ESCAP, 1999b",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=355
535,Kensington - Jualin,United States,Alaska,gold,Hydrothermal,Orogenic gold veins,36a,Low-sulfide Au-quartz vein,Long and others (1998),Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=535
150,Jiaodong,China,,Gold,Hydrothermal,,,,"Kamitani and Naito, 1998",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=150
1306,Chelopech,Bulgaria,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1306
1319,Juomasuo,Finland,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1319
1322,Kutemajarvi,Finland,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1322
1327,OrivesiÂ Â ,Finland,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1327
1330,Pampalo,Finland,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1330
1334,Suurikiisikko,Finland,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1334
1342,Salsigne,France,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1342
1348,Zopkhito,Georgia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1348
1358,Olympias/Kassandra,Greece,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1358
2362,Iduapriem,Ghana,,Gold,Surficial,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=2362
1371,Osilo,Italy,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1371
1374,Skouries/Fioska,Italy,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1374
1384,Nalunaq,Kalaallit Nunaat (Greenland),,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1384
1385,"Platinova Reef, Skaergaard Intrusion",Kalaallit Nunaat (Greenland),,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1385
1400,Aqbakai,Kazakhstan,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1400
1402,Aqtash,Kazakhstan,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1402
1408,Baqyrchik,Kazakhstan,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1408
1416,Bestobe West,Kazakhstan,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1416
1419,Bolshevik,Kazakhstan,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1419
1448,Kvartsitovye Gorki,Kazakhstan,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1448
1451,Maikain,Kazakhstan,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1451
1481,Vasil'evskoe,Kazakhstan,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1481
1482,Vasil'kovskoe,Kazakhstan,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1482
1491,Zholymbet,Kazakhstan,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1491
1493,Andash,Kyrgyzstan,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1493
1496,Chaarat,Kyrgyzstan,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1496
1500,Jerooy,Kyrgyzstan,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1500
1503,Kuku-Tegerek,Kyrgyzstan,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1503
1504,Kumtor,Kyrgyzstan,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1504
1505,Kuru-Tegerek,Kyrgyzstan,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1505
1507,Makmal,Kyrgyzstan,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1507
1509,Taldybulak Levoberezhny,Kyrgyzstan,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1509
1537,Adychan,Russia,,Gold,Surficial,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1537
1538,Aginskoe,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1538
1548,Aliskerov,Russia,,Gold,Surficial,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1548
1549,Allakh-Yun,Russia,,Gold,Surficial,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1549
1550,Ametistovoe,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1550
1553,Asachinskoe,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1553
1554,Badran-Bezvodnyj,Russia,,Gold,Surficial,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1554
1557,Baley,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1557
1567,Berezovsk,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1567
1570,Blagoveshchensk-Svobodnensky district,Russia,,Gold,Surficial,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1570
1571,Bodajbo,Russia,,Gold,Surficial,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1571
1578,Burindinskoe,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1578
1581,Chepak,Russia,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1581
1583,Dambuki,Russia,,Gold,Surficial,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1583
1584,Darasunskoe,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1584
1588,Dukat,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1588
1589,Dzhagdy,Russia,,Gold,Surficial,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1589
1601,Gonzhinsky (Gonzha),Russia,,Gold,Surficial,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1601
1619,Julietta,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1619
1627,Karalveem,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1627
1628,Karamken,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1628
1634,Khakandzhinskoe (Khakandzha),Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1634
1641,Kirovskoe,Russia,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1641
1652,Kubaka,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1652
1654,Kumroch,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1654
1658,"Kurun-Agalyk, Njuchcha, Nera, Zenit",Russia,,Gold,Surficial,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1658
1659,Kurun-Uryakh,Russia,,Gold,Surficial,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1659
1660,Kyuchyus,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1660
1665,Lebedinskoe 2,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1665
156,Paishanlou,China,,Gold,Hydrothermal,,,,"Ariunbileg and others, 2003",Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=156
1677,Maiskoe,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1677
1679,Malokhingansky district,Russia,,Gold,Surficial,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1679
1681,Malomyr,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1681
1688,Natalka,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1688
1690,Netchen-Khaya,Russia,,Gold,Igneous,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1690
1691,Nezhdaninka,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1691
1695,Nizhne-Kjuchusskoe,Russia,,Gold,Hydrothermal,,,,,Gold,https://mrdata.usgs.gov/major-deposits/show-ofr20051294.php?rec_id=1695
